"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"724","https://leetcode.com/problems/find-pivot-index","Find Pivot Index","Easy","62.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1962","https://leetcode.com/problems/remove-stones-to-minimize-the-total","Remove Stones to Minimize the Total","Medium","65.7%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"38","https://leetcode.com/problems/count-and-say","Count and Say","Medium","62.9%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","75.0%","Arrays","Sorting / Prefix / Scan; Sliding Window","High","Must revise; common company/OA pattern."
"198","https://leetcode.com/problems/house-robber","House Robber","Medium","53.2%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1465","https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts","Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts","Medium","41.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"695","https://leetcode.com/problems/max-area-of-island","Max Area of Island","Medium","74.0%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"227","https://leetcode.com/problems/basic-calculator-ii","Basic Calculator II","Medium","46.9%","75.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"1283","https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold","Find the Smallest Divisor Given a Threshold","Medium","65.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"460","https://leetcode.com/problems/lfu-cache","LFU Cache","Hard","49.2%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","75.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"895","https://leetcode.com/problems/maximum-frequency-stack","Maximum Frequency Stack","Hard","66.8%","75.0%","Arrays; Stack / Queue","Sorting / Prefix / Scan; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
